Variable,Category,t_stat,p_value,Mean_Risky,Mean_Safe,Year
Abnormal Returns,risky vs safe,-0.3300837808042039,0.7413618325242426,0.038774645502645505,0.008256965608465614,2020
Abnormal Returns,risky vs safe,-0.5187442348409994,0.6039877249142631,-0.013545306878306882,-0.037322867724867724,2021
